"","addresses","addressesOrder","addressesRequired","aggScaleID","aggSetID","catSetID","changes","classID","compSet","contacts","contactsOrder","contactsRequired","datasets","datasetsOrder","datasetsRequired","dataType","domainID","firstReleased","groupID","instruments","instrumentsOrder","instrumentsRequired","languages","languagesOrder","partLabel","lastUpdated","latExp","maxLength","maxValue","measures","measureSets","measureSetsOrder","measureSetsRequired","measuresOrder","measuresRequired","minLength","minValue","nomenclatureID","organizations","organizationsOrder","organizationsRequired","ontologyRef","partDesc","partID","partInstr","parts","partType","polygons","polygonsOrder","polygonsRequired","protocolRelationships","protocols","protocolsOrder","protocolsRequired","protocolSteps","protocolStepsOrder","protocolStepsRequired","qualityReports","qualityReportsOrder","qualitySetID","refLink","sampleRelationships","sampleRelationshipsOrder","sampleRelationshipsRequired","samples","samplesOrder","samplesRequired","sets","setsOrder","shortName","sites","sitesOrder","sitesRequired","specimenSet","status","translations","translationsOrder","unitSetID"
"171","NA","NA","NA","see unit","naAggrSet","NA","added in V2.0","mutation","anyCompartment","NA","NA","NA","NA","NA","NA","see unit","Bio","2.0","sarsCov2","NA","NA","NA","NA","NA","ddcov_e sars-cov-2 gene target","2.0","NA","NA","see unit","input","NA","NA","NA","NA","NA","NA","see unit","naNomenclature","NA","NA","NA","NA","ddcov_e sars-cov-2 gene target.","ddcovE","NA","NA","measure","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","pcrQualitySet","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","saSpecimen","active","NA","NA","geneticUnitSet"
"172","NA","NA","NA","see unit","naAggrSet","NA","added in V2.0","mutation","anyCompartment","NA","NA","NA","NA","NA","NA","see unit","Bio","2.0","sarsCov2","NA","NA","NA","NA","NA","ddcov_n sars-cov-2 gene target","2.0","NA","NA","see unit","input","NA","NA","NA","NA","NA","NA","see unit","naNomenclature","NA","NA","NA","NA","ddcov_n sars-cov-2 gene target.","ddcovN ","NA","NA","measure","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","pcrQualitySet","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","saSpecimen","active","NA","NA","geneticUnitSet"
"173","NA","NA","NA","quantAggScale","linearAggrSet","NA","added in V2.0","naClass","anyCompartment","NA","NA","NA","NA","NA","NA","integer","Bio","2.0","naGroup","NA","NA","NA","NA","NA","Deaths","2.0","NA","NA","NA","input","NA","NA","NA","NA","NA","NA","0","naNomenclature","NA","NA","NA","NA","Units for describing a population measure of patients who have died from a given cause.","death","Unit for a population or disease measure to explain population-level clinical effects.","NA","unit","NA","NA","NA","NA","NA","NA","NA","input","NA","NA","NA","NA","genQualitySet","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","poSpecimen","active","NA","NA","naUnitSet"
"174","NA","NA","NA","see unit","naAggrSet","NA","added in V2.0","mutation","anyCompartment","NA","NA","NA","NA","NA","NA","see unit","Bio","2.0","sarsCov2","NA","NA","NA","NA","NA","del143/145 ","2.0","NA","NA","see unit","input","NA","NA","NA","NA","NA","NA","see unit","naNomenclature","NA","NA","NA","NA","143 or 145 deletion omicron-variant gene target.","del143","NA","NA","measure","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","pcrQualitySet","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","saSpecimen","active","NA","NA","geneticUnitSet"
"175","NA","NA","NA","see unit","naAggrSet","NA","added in V2.0","mutation","anyCompartment","NA","NA","NA","NA","NA","NA","see unit","Bio","2.0","sarsCov2","NA","NA","NA","NA","NA","del 157/158","2.0","NA","NA","see unit","input","NA","NA","NA","NA","NA","NA","see unit","naNomenclature","NA","NA","NA","NA","157 or 158 deletion delta-variant gene target","del157","NA","NA","measure","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","pcrQualitySet","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","saSpecimen","active","NA","NA","geneticUnitSet"
"176","NA","NA","NA","see unit","naAggrSet","NA","added in V2.0","mutation","anyCompartment","NA","NA","NA","NA","NA","NA","see unit","Bio","2.0","sarsCov2","NA","NA","NA","NA","NA","del2084/2084 ","2.0","NA","NA","see unit","input","NA","NA","NA","NA","NA","NA","see unit","naNomenclature","NA","NA","NA","NA","2084 or 2084 deletion omicron-variant gene target.","del2084","NA","NA","measure","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","pcrQualitySet","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","saSpecimen","active","NA","NA","geneticUnitSet"
"177","NA","NA","NA","see unit","naAggrSet","NA","added in V2.0","mutation","anyCompartment","NA","NA","NA","NA","NA","NA","see unit","Bio","2.0","sarsCov2","NA","NA","NA","NA","NA","del212/212 ","2.0","NA","NA","see unit","input","NA","NA","NA","NA","NA","NA","see unit","naNomenclature","NA","NA","NA","NA","212 or 212 deletion omicron-variant gene target.","del212","NA","NA","measure","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","pcrQualitySet","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","saSpecimen","active","NA","NA","geneticUnitSet"
"178","NA","NA","NA","see unit","naAggrSet","NA","added in V2.0","mutation","anyCompartment","NA","NA","NA","NA","NA","NA","see unit","Bio","2.0","sarsCov2","NA","NA","NA","NA","NA","del3674/3676 ","2.0","NA","NA","see unit","input","NA","NA","NA","NA","NA","NA","see unit","naNomenclature","NA","NA","NA","NA","3674 or 3676 deletion omicron-variant gene target.","del3674","NA","NA","measure","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","pcrQualitySet","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","saSpecimen","active","NA","NA","geneticUnitSet"
"179","NA","NA","NA","see unit","naAggrSet","NA","added in V2.0","mutation","anyCompartment","NA","NA","NA","NA","NA","NA","see unit","Bio","2.0","sarsCov2","NA","NA","NA","NA","NA","del69/70 ","2.0","NA","NA","see unit","input","NA","NA","NA","NA","NA","NA","see unit","naNomenclature","NA","NA","NA","NA","69 or 70 deletion omicron-variant gene target.","del6970","NA","NA","measure","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","pcrQualitySet","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","saSpecimen","active","NA","NA","geneticUnitSet"
"180","NA","NA","NA","see unit","naAggrSet","NA","added in V2.0","variant","anyCompartment","NA","NA","NA","NA","NA","NA","see unit","Bio","2.0","sarsCov2","NA","NA","NA","NA","NA","Delta","2.0","NA","NA","see unit","input","NA","NA","NA","NA","NA","NA","see unit","who","NA","NA","NA","NA","B.1.617.2","delta","NA","NA","measure","NA","NA","NA","NA","NA","NA","NA","input","NA","NA","NA","NA","seqQualitySet","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","saSpecimen","active","NA","NA","geneticUnitSet"
"181","NA","NA","NA","NA","naAggrSet","NA","added in V2.0","naClass","naCompartmentSet","NA","NA","NA","NA","NA","NA","varchar","naDomain","2.0","naGroup","NA","NA","NA","NA","NA","Depreciated","2.0","NA","30","NA","NA","NA","NA","NA","NA","NA","0","NA","naNomenclature","NA","NA","NA","NA","Indicator to say that a part is no longer in current use in the model. See partID = status","depreciated","NA","input","category","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","naSpecimenSet","active","NA","NA","naUnitSet"
"182","NA","NA","NA","NA","naAggrSet","NA","added in V2.0; GitHub issue #94","naClass","naCompartmentSet","NA","NA","NA","NA","NA","NA","varchar","naDomain","2.0","naGroup","NA","NA","NA","NA","NA","Derived sample","2.0","NA","30","NA","input","NA","NA","NA","NA","NA","0","NA","naNomenclature","NA","NA","NA","NA","Specifies a sample that is derrived or made from another sample or material.","derived","NA","NA","category","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","input","NA","NA","NA","NA","NA","NA","NA","NA","naSpecimenSet","active","NA","NA","naUnitSet"
"183","NA","NA","NA","NA","naAggrSet","NA","added in V2.0","naClass","naCompartmentSet","NA","NA","NA","header","6","optional","varchar","naDomain","2.0","naGroup","header","8","optional","NA","NA","Description","2.0","NA","200","NA","NA","NA","NA","NA","NA","NA","0","NA","naNomenclature","header","6","optional","NA","A detailed description as an attirbute for describing results or program elements.","descr","A description of the part that serves a clear presentation of the part to a wide audience including techinical and not techincal staff. A description should allow any person who generates environment surveillance data to know how to identify how to record their data elements in the ODM. partReference can be used to further describe a part.","NA","attribute","header","4","optional","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","header","11","optional","naSpecimenSet","active","NA","NA","naUnitSet"
"184","NA","NA","NA","NA","naAggrSet","NA","added in V2.0","naClass","naCompartmentSet","NA","NA","NA","NA","NA","NA","varchar","naDomain","2.0","naGroup","NA","NA","NA","NA","NA","Description of change","2.0","NA","30","NA","NA","NA","NA","NA","NA","NA","0","NA","naNomenclature","NA","NA","NA","NA","A description of change in a part from the previous version.","descrChange","NA","NA","dictionary","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","naSpecimenSet","active","NA","NA","naUnitSet"
"185","NA","NA","NA","NA","naAggrSet","NA","added in V2.0","naClass","surfaceCompartment","NA","NA","NA","NA","NA","NA","varchar","naDomain","2.0","colGrp","NA","NA","NA","NA","NA","Desk or counter","2.0","NA","30","NA","input","NA","NA","NA","NA","NA","0","NA","naNomenclature","NA","NA","NA","NA","Desk, table, countertop or other flat working surface.","desk","NA","NA","category","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","input","NA","NA","NA","NA","NA","NA","NA","NA","naSpecimenSet","active","NA","NA","naUnitSet"
"186","NA","NA","NA","NA","naAggrSet","NA","NA","naClass","waterCompartment","NA","NA","NA","NA","NA","NA","varchar","naDomain","1.0","procGrp","NA","NA","NA","NA","NA","Dewatered solids","2.0","NA","30","NA","input","NA","NA","NA","NA","NA","0","NA","naNomenclature","NA","NA","NA","NA","Dewatered solids.","deso","NA","NA","category","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","naSpecimenSet","active","NA","NA","naUnitSet"
"187","NA","NA","NA","quantAggScale","booleanAggrSet","booleanSet","description wording.","naClass","anyCompartment","NA","NA","NA","NA","NA","NA","boolean","Bio","1.1","naGroup","NA","NA","NA","NA","NA","Detected","2.0","$detected$","NA","1","input","NA","NA","NA","NA","NA","NA","0","naNomenclature","NA","NA","NA","NA","Substance detected or not detected.","det","1 = detected, 0 = not detected","NA","unit","NA","NA","NA","NA","NA","NA","NA","input","NA","NA","NA","NA","genQualitySet","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","saSpecimen","active","NA","NA","naUnitSet"
"188","NA","NA","NA","NA","naAggrSet","booleanSet","depreciated, sharing moved to sharing schema","naClass","naCompartmentSet","NA","NA","NA","NA","NA","NA","boolean","naDomain","1.0","naGroup","NA","NA","NA","NA","NA","Access to details deprecated","2.0","NA","1","NA","NA","NA","NA","NA","NA","NA","0","NA","naNomenclature","NA","NA","NA","NA","More details on the existing confidentiality requirements of this measurement.","detailsDep","NA","NA","attribute","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","naSpecimenSet","depreciated","NA","NA","naUnitSet"
"189","NA","NA","NA","see unit","naAggrSet","NA","added in V2.0","naClass","anyCompartment","NA","NA","NA","NA","NA","NA","integer","allDo","2.0","procGrp","NA","NA","NA","NA","NA","Dilution factor","2.0","NA","NA","NA","input","NA","NA","NA","NA","NA","NA","1","naNomenclature","NA","NA","NA","NA","Specifies the extent to which a sample or aliquot was diluted prioir to analysis.","dilFact","Dilution factor is reported as a unitless measure, where a value of 10 indicates a 10:1 dilution.","NA","measure","NA","NA","NA","NA","NA","NA","NA","input","NA","NA","NA","NA","genQualitySet","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","saSpecimen","active","NA","NA","naUnitSet"
"190","NA","NA","NA","NA","naAggrSet","NA","added in V2.0","naClass","naCompartmentSet","NA","NA","NA","NA","NA","NA","varchar","naDomain","2.0","naGroup","NA","NA","NA","NA","NA","Class not applicable","2.0","NA","30","NA","input","NA","NA","NA","NA","NA","0","NA","naNomenclature","NA","NA","NA","NA","Specifies a class for parts where a class is not applicable or appropriate.","naClass","Use this for all parts that don't have classes (most non-measure or method parts)","input","class","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","naSpecimenSet","active","NA","NA","naUnitSet"
"191","NA","NA","NA","quantAggScale","naAggrSet","NA","added in V2.0","naClass","airWaterCompartment","NA","NA","NA","NA","NA","NA","varchar","naDomain","2.0","naGroup","NA","NA","NA","NA","NA","Dissolved gas concentration unit set","2.0","NA","30","NA","NA","NA","NA","NA","NA","NA","0","NA","naNomenclature","NA","NA","NA","NA","Unit set for carbon dioxide concentrations measurements in water or air.","dissGasUnitSet","NA","input","unitSet","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","naSpecimenSet","active","NA","NA","dissGasUnitSet"
"192","NA","NA","NA","quantAggScale","linearAggrSet","NA","Issue #120","naClass","anyCompartment","NA","NA","NA","NA","NA","NA","integer","Bio","2.0","naGroup","NA","NA","NA","NA","NA","Depth of coverage","2.0","$$","NA","100","input","NA","NA","NA","NA","NA","NA","0","naNomenclature","NA","NA","NA","NA","The sequencing read depth.","doc","Used to interpret the confidence in a presence or amount of a varient.","NA","unit","NA","NA","NA","NA","NA","NA","NA","input","NA","NA","NA","NA","genQualitySet","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","saSpecimen","active","NA","NA","naUnitSet"
"193","NA","NA","NA","NA","naAggrSet","NA","added in V2.0","naClass","naCompartmentSet","NA","NA","NA","NA","NA","NA","varchar","naDomain","2.0","naGroup","NA","NA","NA","NA","NA","Domains","2.0","NA","30","NA","NA","NA","NA","NA","NA","NA","0","NA","naNomenclature","NA","NA","NA","NA","Domain is the highest level of describing of a measure. There are three domain types: biologic (i.e. Covid-19, chemical (i.e. nitrogen), physical measure (temperature).","domain","NA","input","partType","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","naSpecimenSet","active","NA","NA","naUnitSet"
"194","NA","NA","NA","NA","naAggrSet","NA","added in V2.0","naClass","naCompartmentSet","NA","NA","NA","NA","NA","NA","categorical","naDomain","2.0","naGroup","NA","NA","NA","NA","NA","Domain ID","2.0","NA","30","NA","NA","NA","NA","NA","NA","NA","0","NA","naNomenclature","NA","NA","NA","NA","Domain is the highest level of describing of a measure. There are three domain types: biologic (i.e. Covid-19, chemical (i.e. nitrogen), physical measure (temperature).","domainID","The domain ID that corresponds to a given part. Mostly applicable for measures, methods, units, and aggregations.","header","attribute","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","naSpecimenSet","active","NA","NA","naUnitSet"
"195","NA","NA","NA","NA","naAggrSet","NA","added in V2.0","naClass","anyCompartment","NA","NA","NA","NA","NA","NA","varchar","naDomain","2.0","colGrp","NA","NA","NA","NA","NA","Higher education domitory or residential building","2.0","NA","30","NA","input","NA","NA","NA","NA","NA","0","NA","naNomenclature","NA","NA","NA","NA","Higher education domitory or residential building","dorm","NA","NA","category","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","input","NA","NA","naSpecimenSet","active","NA","NA","naUnitSet"
"196","NA","NA","NA","see unit","naAggrSet","NA","added in V2.0","mutation","anyCompartment","NA","NA","NA","NA","NA","NA","see unit","Bio","2.0","sarsCov2","NA","NA","NA","NA","NA","e156g delta-variant gene target","2.0","NA","NA","see unit","input","NA","NA","NA","NA","NA","NA","see unit","naNomenclature","NA","NA","NA","NA","e156g delta-variant gene target","e156g","NA","NA","measure","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","pcrQualitySet","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","saSpecimen","active","NA","NA","geneticUnitSet"
"197","NA","NA","NA","see unit","naAggrSet","NA","added in V2.0","mutation","anyCompartment","NA","NA","NA","NA","NA","NA","see unit","Bio","2.0","sarsCov2","NA","NA","NA","NA","NA","e484a omicron-variant gene target","2.0","NA","NA","see unit","input","NA","NA","NA","NA","NA","NA","see unit","naNomenclature","NA","NA","NA","NA","e484a omicron-variant gene target","e484a ","NA","NA","measure","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","pcrQualitySet","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","saSpecimen","active","NA","NA","geneticUnitSet"
"198","NA","NA","NA","NA","naAggrSet","NA","description wording, structure","naClass","surfaceWaterCompartment","NA","NA","NA","NA","NA","NA","see unit","Bio","1.0","bactMisc","NA","NA","NA","NA","NA","Escherichia coli","2.0","NA","NA","see unit","input","NA","NA","NA","NA","NA","NA","see unit","naNomenclature","NA","NA","NA","NA","Concentration of bacteria that are passed through the faecal excrement of humans, livestock and wildlife","ecoli","NA","NA","measure","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","genQualitySet","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","siSaSpecimen","active","NA","NA","bacteriaUnitSet"
"199","NA","NA","NA","NA","naAggrSet","NA","added in V2.0","naClass","naCompartmentSet","NA","NA","NA","NA","NA","NA","varchar","naDomain","2.0","naGroup","NA","NA","NA","NA","NA","Education","2.0","NA","30","NA","input","NA","NA","NA","NA","NA","0","NA","naNomenclature","NA","NA","NA","NA","A measure or sample taken for education or training.","education","Use this purpose, for example, when teaching how to use the PHES-ODM.","NA","category","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Input","NA","NA","NA","NA","NA","NA","NA","NA","naSpecimenSet","active","NA","NA","naUnitSet"
"200","NA","NA","NA","NA","naAggrSet","NA","added in V2.0","naClass","naCompartmentSet","header","6","mandatory","NA","NA","NA","varchar","naDomain","1.0","naGroup","NA","NA","NA","NA","NA","Contact email","2.0","NA","100","NA","NA","NA","NA","NA","NA","NA","0","NA","naNomenclature","NA","NA","NA","NA","Contact e-mail address, for the lab.","email","NA","NA","attribute","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","naSpecimenSet","active","NA","NA","naUnitSet"
"201","NA","NA","NA","see unit","naAggrSet","NA","description wording, structure","precipClass","anyCompartment","NA","NA","NA","NA","NA","NA","float","Phy","1.0","siteFeat","NA","NA","NA","NA","NA","Rainfall","2.0","NA","NA","see unit","input","NA","NA","NA","NA","NA","NA","see unit","naNomenclature","NA","NA","NA","NA","Rainfall, i.e. amount of precipitation in the form of rain.","envRnF","NA","NA","measure","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","genQualitySet","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","siSpecimen","active","NA","NA","precipitationUnitSet"
"202","NA","NA","NA","see unit","naAggrSet","NA","description wording, structure","precipClass","anyCompartment","NA","NA","NA","NA","NA","NA","float","Phy","1.0","siteFeat","NA","NA","NA","NA","NA","Ground Snow Depth","2.0","NA","NA","see unit","input","NA","NA","NA","NA","NA","NA","see unit","naNomenclature","NA","NA","NA","NA","Total depth of snow on the ground.","envSnwD","NA","NA","measure","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","genQualitySet","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","siSpecimen","active","NA","NA","precipitationUnitSet"
"203","NA","NA","NA","see unit","naAggrSet","NA","description wording, structure","precipClass","anyCompartment","NA","NA","NA","NA","NA","NA","float","Phy","1.0","siteFeat","NA","NA","NA","NA","NA","Snowfall","2.0","NA","NA","see unit","input","NA","NA","NA","NA","NA","NA","see unit","naNomenclature","NA","NA","NA","NA","Snowfall, i.e. amount of precipitation in the form of snow.","envSnwF","NA","NA","measure","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","genQualitySet","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","siSpecimen","active","NA","NA","precipitationUnitSet"
"204","NA","NA","NA","NA","naAggrSet","popDateTypeCatSet","depreciate","naClass","humanCompartment","NA","NA","NA","NA","NA","NA","datetime","naDomain","1.0","naGroup","NA","NA","NA","NA","NA","Episode Date","2.0","NA","30","NA","NA","NA","NA","NA","NA","NA","0","NA","naNomenclature","NA","NA","NA","NA","Episode date is the earliest of onset, test or reported date.","epiDate","NA","NA","category","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","naSpecimenSet","depreciated","NA","NA","naUnitSet"
"205","NA","NA","NA","see unit","naAggrSet","NA","added in V2.0","mutation","anyCompartment","NA","NA","NA","NA","NA","NA","see unit","Bio","2.0","sarsCov2","NA","NA","NA","NA","NA","Sarbecovirus-specific E sars-cov-2 gene target","2.0","NA","NA","see unit","input","NA","NA","NA","NA","NA","NA","see unit","naNomenclature","NA","NA","NA","NA","Sarbecovirus-specific E sars-cov-2 gene target","eSarbec","NA","NA","measure","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","pcrQualitySet","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","saSpecimen","active","NA","NA","geneticUnitSet"
"206","NA","NA","NA","NA","naAggrSet","NA","description wording, structure","naClass","waterCompartment","NA","NA","NA","NA","NA","NA","varchar","naDomain","1.0","colGrp","NA","NA","NA","NA","NA","Estuary, natural water body","2.0","NA","30","NA","input","NA","NA","NA","NA","NA","0","NA","naNomenclature","NA","NA","NA","NA","Estuary, natural water body","estuary","NA","NA","category","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","input","NA","NA","naSpecimenSet","active","NA","NA","naUnitSet"
"207","NA","NA","NA","NA","naAggrSet","NA","added in V2.0","naClass","anyCompartment","NA","NA","NA","NA","NA","NA","varchar","Bio","2.0","naGroup","NA","NA","NA","NA","NA","Experiment Failed","2.0","NA","30","NA","input","NA","NA","NA","NA","NA","0","NA","naNomenclature","NA","NA","NA","NA","PCR experiment failed. No value reported.","expFail","Value should be blank for a measure with this qualityFlag value.","NA","quality","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","input","NA","pcrQualitySet","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","saSpecimen","active","NA","NA","naUnitSet"
"208","NA","NA","NA","NA","naAggrSet","extractCatSet","added in V2.0","naClass","anyCompartment","NA","NA","NA","NA","NA","NA","categorical","Bio","2.0","naGroup","NA","NA","NA","NA","NA","Nucleic Acid Extraction CatSetegory Set","2.0","NA","30","NA","NA","NA","NA","NA","NA","NA","0","NA","naNomenclature","NA","NA","NA","NA","CatSetegory set used for storing all the valid category values for the nucleic acid extraction method.","extractCatSet","NA","input","catSet","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","saSpecimen","active","NA","NA","naUnitSet"
"209","NA","NA","NA","NA","naAggrSet","extractCatSet","description wording add categories from NWSS","naClass","anyCompartment","NA","NA","NA","NA","NA","NA","categorical","Bio","1.0","procGrp","NA","NA","NA","NA","NA","Nucleic acid extraction method","2.0","NA","100","NA","NA","NA","NA","NA","NA","NA","0","NA","naNomenclature","NA","NA","NA","NA","Description of the xtraction method.","extraction","Description of the method used to extract the sample","NA","method","NA","NA","NA","NA","NA","NA","NA","input","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","saSpecimen","active","NA","NA","naUnitSet"
"210","NA","NA","NA","see unit","linearAggrSet","NA","description wording and unit set","physical","anyCompartment","NA","NA","NA","NA","NA","NA","float","Phy","1.0","procGrp","NA","NA","NA","NA","NA","Extraction volume of sample","2.0","NA","NA","see unit","input","NA","NA","NA","NA","NA","NA","see unit","naNomenclature","NA","NA","NA","NA","Extraction volume of sample.","exvol","Size of the sample that is analyzed.","NA","measure","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","genQualitySet","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","saSpecimen","active","NA","NA","volumeUnitSet"
"211","NA","NA","NA","NA","naAggrSet","NA","NA","naClass","waterCompartment","NA","NA","NA","NA","NA","NA","varchar","naDomain","1.0","colGrp","NA","NA","NA","NA","NA","Fecal matter","2.0","NA","30","NA","input","NA","NA","NA","NA","NA","0","NA","naNomenclature","NA","NA","NA","NA","Fecal matter.","faeces","NA","NA","category","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","input","NA","NA","NA","NA","NA","NA","NA","NA","naSpecimenSet","active","NA","NA","naUnitSet"
"212","NA","NA","NA","NA","naAggrSet","NA","added in V2.0","naClass","naCompartmentSet","NA","NA","NA","NA","NA","NA","boolean","naDomain","1.1","naGroup","NA","NA","NA","NA","NA","FALSE","2.0","NA","5","NA","NA","NA","NA","NA","NA","NA","5","NA","naNomenclature","NA","NA","NA","NA","Boolean data type = FALSE","false","Use these values and their set for any boolean measure or attribute. Use only ""FALSE"" (case sensitive)","NA","category","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","input","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","naSpecimenSet","active","NA","NA","naUnitSet"
"213","NA","NA","NA","NA","naAggrSet","NA","added in V2.0","naClass","anyCompartment","NA","NA","NA","NA","NA","NA","varchar","Bio","2.0","naGroup","NA","NA","NA","NA","NA","Inhibition present and unaddressed","2.0","NA","30","NA","input","NA","NA","NA","NA","NA","0","NA","naNomenclature","NA","NA","NA","NA","The original sample was inhibited; however, the inhibition has not been successfully addressed. Therefore, no concentration estimate has been reported.","fi","NA","NA","quality","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","input","NA","pcrQualitySet","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","saSpecimen","active","NA","NA","naUnitSet"
"214","NA","NA","NA","NA","naAggrSet","NA","added in V2.0; GitHub issue #94","naClass","naCompartmentSet","NA","NA","NA","NA","NA","NA","varchar","naDomain","2.0","naGroup","NA","NA","NA","NA","NA","Field sample","2.0","NA","30","NA","input","NA","NA","NA","NA","NA","0","NA","naNomenclature","NA","NA","NA","NA","Specifies a sample taken from the field; directly collected from an area for testing.","field","NA","NA","category","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","input","NA","NA","NA","NA","NA","NA","NA","NA","naSpecimenSet","active","NA","NA","naUnitSet"
