"","changes","firstReleased","langID","partLabel","lastUpdated","partDesc","partID","partInstr","notes"
"396","added in V2.0","2.0","eng","n969k omicron-variant gene target","2.0","n969k omicron-variant gene target","n969k ","NA",NA
"397","added in V2.0","1.0","eng","Not applicable","2.0","The field for which the expected value is not a property of the described object.","na","Missing value indicator for missing data with no explanation.",NA
"398","added in V2.0","2.0","eng","Aggregation not applicable","2.0","Not applicable for aggregations.","naAggr","Used for parts for which an aggregation value is not applicable or appropriate.",NA
"399","added in V2.0","2.0","eng","Aggregation scale not applicable","2.0","Not application for aggregation sets.","naAggrScale","Used for parts for which an aggregation scale value is not applicable or appropriate.",NA
"400","added in V2.0","2.0","eng","Aggregation set not applicable","2.0","Not application for aggregation sets.","naAggrSet","Used for parts for which an aggregation set value is not applicable or appropriate.",NA
"401","added in V2.0","2.0","eng","Class not applicable","2.0","Specifies a class for parts where a class is not applicable or appropriate.","naClass","Use this for all parts that don't have classes (most non-measure or method parts)",NA
"402","added in version 2","2.0","eng","Sample material category set","2.0","CatSetegory set for the types of material that can be found in a sample.","sampleMatCatSet","NA",NA
"403","added in version 2","2.0","eng","Sampleshed CatSetegory Set","2.0","The category set for all valid values of sampleshed.","shedCatSet","NA",NA
"404","added in V2.0","2.0","eng","Domain not applicable","2.0","Not applicable.","naDomain","Use 'not applicable' when there is no domain for the part",NA
"405","added in V2.0","2.0","eng","Group not applicable","2.0","Used when there is no group; ie. groupID is not applicable.","naGroup","Use 'not applicable' when there is no group for the part",NA
"406","added in V2.0","2.0","eng","Data custodian","2.0","The data custodian of a database.","custodyID","Use Organization ID to populate this field, and the organizations table to describe contact information and other details for the data custodian.",NA
"407","added in V2.0","1.0","eng","Not a number","2.0","The outcome of a measurement is not a valid number (plus or minus infinity, error, ...)","nan","Missing values indicator for when a numeric value is expected but not given.",NA
"408","added in V2.0","2.0","eng","Nomenclature not applicable","2.0","Not applicable.","naNomenclature","Use 'not applicable' when there is no nomenclature for the part",NA
"409","added in V2.0","2.0","eng","Specimen not applicable","2.0","Non applicable specimen.","naSpecimen","Use 'not applicable' when there is no specimen/set for the part",NA
"410","added in version 2","2.0","eng","Site category set","2.0","CatSetegory set for the type of sampling site.","siteTypeCatSet","NA",NA
"411","added in V2.0","2.0","eng","Native Name","2.0","The native name of the language, i.e. what the language is called by its speakers.","natName","Part of the metedata for a languageID.",NA
"412","added in V2.0","2.0","eng","Unit not applicable","2.0","Not appliable for units.","naUnit","NA",NA
"413","added in V2.0","2.0","eng","Unit set not applicable","2.0","Not applicable for unit sets.","naUnitSet","NA",NA
"414","added in V2.0","2.0","eng","Non-detect","2.0","No amplification occurred in the reaction; non-detect.","ND","For the value of a non-detected measure, report the actual value even if it is below the limit of detection. The flag here ensures that it's recorded as a non-detect regardless. In instances where the original data doesn't record a value, but only has the flag, please populate the value field with either a 0 if dealing with variant percentages, and a 1 for all other purposes to further indicate a null result.",NA
"415","added in V2.0","2.0","eng","Other long-term care","2.0","Other residential facilities that provide daily and/or medical care, but are not defined as nursing home/skilled nursing facilities or assisted living facilities.","ltcfO","NA",NA
"416","added in V2.0","2.0","eng","Population of newly vaccinated persons","2.0","Population of newly vaccinated persons","newVax","NA",NA
"417","added in V2.0","2.0","eng","NextClade nomenclature","2.0","Specifies variant or genetic nomenclature as set out by NextClade.","nextclade","NA",NA
"418","added in V2.0","1.0","eng","Normalized Geometric Mean","2.0","Geometric mean, normalized.","ngmn","NA",NA
"419","added in V2.0","1.0","eng","Ammonium Nitrogen","2.0","Ammonium nitrogen concentration, as N.","nH4N","NA",NA
"420","added in V2.0","2.0","eng","niid_2019-ncov_n sars-cov-2 gene target","2.0","niid_2019-ncov_n sars-cov-2 gene target","niid19","NA",NA
"421","added in V2.0","2.0","eng","No quality concerns for PCR","2.0","No quality concerns of note for the PCR reaction.","noConcernPCR","NA",NA
"422","added in V2.0","2.0","eng","Sample not labelled","2.0","Sample had no label","noLabel","NA",NA
"423","added in V2.0","2.0","eng","No liquid concentration, liquid recombined with separated solids","2.0","No liquid concentration, liquid recombined with separated solids","noliquid","NA",NA
"424","added in V2.0","2.0","eng","Nomeclature","2.0","A classification system to report the measure class.","nomenclature","See partID = nomenclatureID.",NA
"425","added in V2.0","2.0","eng","Maximum length","2.0","The minimum length of a part.","maxLength","NA",NA
"426","added in V2.0","2.0","eng","Non-detected","2.0","Unit ID for when a measure is ""non-detect"" in order to explain a value of zero.","nondet","Use this unit in cases where a measure resulted in no detection",NA
"427","added in V2.0","1.0","eng","Contact email","2.0","Contact e-mail address, for the lab.","email","NA",NA
"428","added in V2.0","2.0","eng","Sample missing time stamp","2.0","Sample is missing the autosampler time; incomplete metadata on collection.","noTime","NA",NA
"429","added in V2.0","1.0","eng","Not reported","2.0","A value could have been recorded, however, it was not.","nr","Missing value indicator for data that is absent because it was not reported.",NA
"430","added in V2.0","2.0","eng","Sarbecovirus-specific N sars-cov-2 gene target","2.0","Sarbecovirus-specific N sars-cov-2 gene target","nSarbec","NA",NA
"431","added in V2.0","2.0","eng","Nephelometric turbidity unit","2.0","Nephelometric Turbidity Units, a unit used in the measurement of turbidity (see ""turbidity"" under measureIDs).","ntu","Nephelometric turbidity units (NTU) are based on white light (400–680nm) and 90° incident angle.",NA
"432","added in V2.0","2.0","eng","Nuclisens automated magnetic bead extraction kit","2.0","Nucleic acid extraction performed using the nuclisens automated magnetic bead extraction kit.","nucAuto","NA",NA
"433","added in V2.0","2.0","eng","Nuclisens manual magnetic bead extraction kit","2.0","Nucleic acid extraction performed using the nuclisens manual magnetic bead extraction kit.","nucManu","NA",NA
"434","added in V2.0","1.0","eng","Water sample type","2.0","Non-wastewater, coming from any kind of water body","nww","NA",NA
"435","added in V2.0","2.0","eng","coronavirus OC43","2.0","Measure of the amount of coronavirus OC43.","oc43","NA",NA
"436","added in V2.0","2.0","eng","oc43 Spike Target","2.0","Human coronavirus OC43 is used as the recovery efficiency control target.","oc43Mat","NA",NA
"437","added in V2.0","1.0","eng","Ocean, natural water body","2.0","Ocean, natural water body","ocean","NA",NA
"438","added in V2.0, depreciated after","1.0","eng","Other Collection Depreciated","2.0","Other type of collection method. Add description to collectionOther.","oCol","Deprecated as of version 2, please avoid use. Specify in type, or contact the PHES-ODM research team to add your specific item via a github issue (https://github.com/Big-Life-Lab/PHES-ODM/issues), or at phesd_odm@ohri.ca",NA
"439","added in V2.0","1.0","eng","Lab Analysis","2.0","Offline laboratory analysis.","ola","NA",NA
"440","added in V2.0","2.0","eng","Omicron","2.0","B.1.1.529","omicr","NA",NA
"441","added in V2.0; depreciated","1.0","eng","Onset Date","2.0","Earliest that symptoms were reported for this case. This data is often not known and reported. In lieu, episode is used.","onsDate","NA",NA
"442","added in V2.0","1.0","eng","Online Sensor","2.0","Online sensor","onse","An online sensor",NA
"443","added in V2.0","1.0","eng","Orthophosphates","2.0","Ortho-phosphate concentration.","ophos","NA",NA
"444","added in V2.0","2.0","eng","Municipality","2.0","A complete municipality, this specifies an entire metropolitan area, either a city, town, etc.","municp","NA",NA
"445","added in V2.0","2.0","eng","ORF1a sars-cov-2 gene target","2.0","ORF1a sars-cov-2 gene target","orf1a","NA",NA
"446","added in V2.0","2.0","eng","ORF1ab sars-cov-2 gene target","2.0","ORF1ab sars-cov-2 gene target","orf1ab","NA",NA
"447","added in V2.0","2.0","eng","ORF1b sars-cov-2 gene target","2.0","ORF1b sars-cov-2 gene target","orf1b","NA",NA
"448","description wording, structure","1.0","eng","Contact phone","2.0","Contact phone number, for the lab.","phone","NA",NA
"449","added in V2.0","2.0","eng","Maximum value","2.0","The maximum value of a part.","maxValue","NA",NA
"450","added in V2.0, depreciated after","2.0","eng","Organization Type Table","2.0","The table that contains information about organization types","organizationTypes","adapt from verson 1 documentation",NA
"451","added in version 2","2.0","eng","Solid separation category set","2.0","CatSetegory set for the separation of solids.","solidSeparationCatSet","NA",NA
"452","none","1.0","eng","Instrument Type","2.0","Type of instrument used to perform the measurement.","insType","NA",NA
"453","added in V2.0","2.0","eng","Sample origin","2.0","An attribute of a sample specifying the origin.","origin","NA",NA
"454","added in version 2","2.0","eng","CatSetegories of spikeMat","2.0","CatSetegories for spikeMat (aterial into which the recovery efficiency control target is spiked).","spikeMatCatSet","NA",NA
"455","added in V2.0, depreciated after","1.0","eng","Other Collection Depreciated 2","2.0","Other type of collection method. Add description to collectionOther.","otco","Deprecated as of version 2, please avoid use. Specify in type, or contact the PHES-ODM research team to add your specific item via a github issue (https://github.com/Big-Life-Lab/PHES-ODM/issues), or at phesd_odm@ohri.ca",NA
"456","added in V2.0","2.0","eng","Other aggregation set","2.0","Aggregation set used for unitless measures.","otherAggrSet","NA",NA
"457","added in V2.0, depreciated after","1.0","eng","Other Aggregation","2.0","Other aggregation method. Add description to aggregationOther","otherDep","Deprecated as of version 2, please avoid use. Specify in type, or contact the PHES-ODM research team to add your specific item via a github issue (https://github.com/Big-Life-Lab/PHES-ODM/issues), or at phesd_odm@ohri.ca",NA
"458","added in V2.0, depreciated after","1.0","eng","Access to other prov","2.0","If this is 'no', this data will not be available to other data providers not listed before. If missing, data will be available to other data providers not listed before","otherProv","NA",NA
"459","added in V2.0, depreciated after","1.0","eng","Other Site Depreciated","2.0","Other site type. Add description to typeOther","otsiDep2","NA",NA
"460","added in V2.0, depreciated after","1.0","eng","Other Site Depreciated 2","2.0","Other type of site. Add description to typeOther.","otsiDep2","Deprecated as of version 2, please avoid use. Specify in type, or contact the PHES-ODM research team to add your specific item via a github issue (https://github.com/Big-Life-Lab/PHES-ODM/issues), or at phesd_odm@ohri.ca",NA
"461","added in V2.0, depreciated after","1.0","eng","Other Unit","2.0","Other measurement of viral copies or wastewater treatment plant parameter. Add description to UnitOther.","otun","Deprecated as of version 2, please avoid use. Specify in type, or contact the PHES-ODM research team to add your specific item via a github issue (https://github.com/Big-Life-Lab/PHES-ODM/issues), or at phesd_odm@ohri.ca",NA
"462","added in V2.0","2.0","eng","Outbreak","2.0","Measure to indicate outbreak status. Given that when outbreaks occur, full data on case counts may not be available or completely accurate, using this measure indicates that case counts may be approximate.","outb","The datetime for the measure helps indicate that start and end periods for an outbreak.",NA
"463","added in V2.0","2.0","eng","Outbreak End","2.0","Indicates an outbreak has ended.","outbEnd","NA",NA
"464","added in V2.0","2.0","eng","Outbreak On-going","2.0","Indicates an outbreak is on-going.","outbOngoing","NA",NA
"465","added in version 2","2.0","eng","Recovery Efficiency Spike Target CatSetegory Set","2.0","The category set capturing containing all of the valid categories for the recovery efficiency control (or spike) target.","spikeTargetCatSet","NA",NA
"466","added in V2.0","2.0","eng","Outbreak start","2.0","Indicates an outbreak began.","outbStart","NA",NA
"467","added in V2.0","2.0","eng","p100l delta-variant gene target","2.0","p100l delta-variant gene target","p100l","NA",NA
"468","added in V2.0","2.0","eng","p2046l delta-variant gene target","2.0","p2046l delta-variant gene target","p2046l","NA",NA
"469","added in V2.0","2.0","eng","p2287s delta-variant gene target","2.0","p2287s delta-variant gene target","p2287s","NA",NA
"470","added in V2.0","2.0","eng","p3395h omicron-variant gene target","2.0","p3395h omicron-variant gene target","p3395h ","NA",NA
"471","added in V2.0","2.0","eng","p681r delta-variant gene target","2.0","p681r delta-variant gene target","p681r","NA",NA
"472","added in V2.0","2.0","eng","Pangolin nomenclature","2.0","Specifies variant or genetic nomenclature as set out by the Phylogenetic Assignment of Named Global Outbreak Lineages (Pangolin).","pangolin","NA",NA
"473","added in version 2","2.0","eng","Replicate Type","2.0","Attirbute of a sample, specifying whether the sample is unique, or a replicate. And if it is a replicate, what type of replicate is it?","repType","NA",NA
"474","added in V2.0","2.0","eng","Neighbourhood","2.0","A municipal neighbourhood, this specifies a sub-section of a larger municipality.","neigh","NA",NA
"475","added in V2.0","1.0","eng","Measure Report Table","2.0","The table that contains information and details about a given measure","measures","adapt from verson 1 documentation",NA
"476","added in V2.0","1.0","eng","Measure Set Report Table","2.0","The table that identifies sets of measures.","measureSets","Examples of measure sets include a set of replicates, dilutions (used to generate a Ct curve) or varients that are identified in a single sample.",NA
"477","added in V2.0","2.0","eng","Measure sets table column order","2.0","Specifies the order of the columns in a Measure Sets table.","measureSetsOrder","NA",NA
"478","added in V2.0","2.0","eng","Requirements of measure sets table","2.0","Specifies the columns required in a Measure Sets table.","measureSetsRequired","NA",NA
"479","added in V2.0","2.0","eng","Measures table column order","2.0","Specifies the order of the columns in a Measures table.","measuresOrder","NA",NA
"480","added in V2.0","2.0","eng","Requirements of measures table","2.0","Specifies the columns required in a Measures table.","measuresRequired","NA",NA
"481","added in version 2","2.0","eng","Table column category set","2.0","The category set for valid inputs in table columns.","tableCatSet","These categories are used in the parts list for columns named after tables to indicate the position and function of a given part in the entity relationship diagram of the data model.",NA
"482","depreciated","1.0","eng","Primary Clarifier Effluent Depreciated","2.0","Effluent obtained after primary clarifiers.","pce","Deprecated in version 2, please do not use. Duplicate of the sampleMat categories - refer to those.",NA
"483","description wording","1.0","eng","PCR method","2.0","Description of the PCR method.","pcr","Description of the PCR method used",NA
"484","added in version 2","2.0","eng","PCR Quality Set","2.0","Quality set for PCR measures.","pcrQualitySet","NA",NA
"485","depreciated","1.0","eng","Primary Clarifier Sludge Depreciated","2.0","Sludge produced by primary clarifiers.","pcs","NA",NA
"486","NA","1.0","eng","Primary clarifier effluent","2.0","Effluent obtained after primary clarifiers","pEfflu","NA",NA
"487","added in version 2","2.0","eng","Polyethyleneglycol (PEG) precipitation","2.0","Peg precipitation","peg","NA",NA
"488","added in version 2","2.0","eng","Percent","2.0","Percentage.","perc","NA",NA
"489","description wording, structure","1.0","eng","Percent Recovery","2.0","Percent of the surrogate recovery for a recovery efficiency control assay.","percRec","Use this for reporting the results of any recovery control assay.",NA
"490","description wording, structure","1.1","eng","pH","2.0","pH measurement","ph","NA",NA
"491","Depreciated.","1.0","eng","Access to phac","2.0","If this is 'no', the data will not be available to employees of the Public Health Agency of Canada - PHAC. If missing, data will be available to employees of the Public Health Agency of Canada - PHAC.","phac","NA",NA
"492","NA","1.0","eng","Latitude","2.0","Geographical location, latitude in decimal coordinates, ie.: (45.424721)","geoLat","NA",NA
"493","added in version 2","2.0","eng","Phenol chloroform","2.0","Nucleic acid extraction performed using phenol chloroform.","phenCl","NA",NA
"494","added in version 2","2.0","eng","Pseudomonas virus phi6","2.0","Measure of the amount of pseudomonas virus phi6.","phi6","NA",NA
"495","added in version 2","2.0","eng","phi6 Spike Target","2.0","Pseudomonas virus phi6is used as the recovery efficiency control target.","phi6Mat","NA",NA
"496","added in version 2","2.0","eng","Role of Contact","2.0","Specifies the organizational role of a given contact.","role","NA",NA
"497","description wording, structure","1.1","eng","Total Phosphorous","2.0","Total phosphorous","phos","NA",NA
"498","description wording, structure","1.1","eng","Total Phosphates","2.0","Total phosphates","phostot","NA",NA
"499","added in version 2","2.0","eng","Physical property","2.0","A physical property or object not characterized by life or chemistry.","phy","NA",NA
"500","added in version 2","2.0","eng","Physical class","2.0","Specifies a collection of measures/methods related to generic physical properties.","physical","NA",NA
"501","added in version 2","2.0","eng","Primary key","2.0","Primary key for a table.","pK","NA",NA
"502","added in version 2","2.0","eng","PMMoV- and flow-normalized mean","2.0","Mean measure normalized to amount of PMMoV and wastewater flow; AlleleX (gc/mL) x Q (ML/d)  / (Pop /1e5) x 1e3 (mL/L) x 1e6 (L/ML)  = AlleleX (gc/day per 1e5 population)","pmFloMean","Mostly used for reporting specific alleles (N1, N2, E, etc.)",NA
"503","added in version 2","2.0","eng","PMMoV-normalized mean","2.0","Mean measure normalized to amount of PMMoV.","pmmovNorm","Mostly used for reporting specific alleles (N1, N2, E, etc.)",NA
"504","added in version 2","1.0","eng","Population","2.0","An aggregated public health measure.","po","NA",NA
"505","depreciated","1.0","eng","Post-Grit Depreciated","2.0","Raw wastewater after a treatment plant's headworks.","pogr","NA",NA
"506","description wording, structure","1.0","eng","Well-known text","2.0","Well-known text of the polygon","geoWKT","NA",NA
"507","added in V2.0","2.0","eng","Mininum length","2.0","The minimum length of a part.","minLength","NA",NA
"508","none","1.0","eng","Describe other instrument type, if applicable","2.0","Description of the instrument in case it is not listed in instrumentType.","insTypeOth","NA",NA
"509","description wording","1.0","eng","Sample collection type","2.0","Method used to collect the sample.","collType","NA",NA
"510","depreciated","1.0","eng","Type of date for case reporting","2.0","Type of date used for confirmed cases. Typically, report or episode are reported. Onset and test date is not usually reported within aggregate data.","popDateType","NA",NA
"511","added in version 2","2.0","eng","Weather Category Set","2.0","A category set of the valid qualitative categories for the qualitative weather measure.","weathCatSet","NA",NA
"512","description wording, structure","1.0","eng","Population equivalents","2.0","A unit for measuring of design capacity for wastewater treatment plants, represented as the approximate amount of water a signle person would use.","popEq","NA",NA
"513","added in version 2","2.0","eng","Population group","2.0","A group of measures/methods related to population-level factors.","popGrp","Examples might be case numbers, hospitalization rates, etc.",NA
"514","NA","1.0","eng","Longitude","2.0","Geographical location, longitude in decimal coordinates, ie.: (-75.695000)","geoLong","NA",NA
"515","added in version 2","2.0","eng","Population class","2.0","Specifies a collection of population-level measures/methods.","population","NA",NA
"516","added in version 2","2.0","eng","Population unit set","2.0","Unit set for hospital-related measurements.","populationUnitSet","NA",NA
"517","added in V2.0","2.0","eng","Status category set","2.0","A category set for partID = Status to indicate whether a part is in current use or not.","statusCatSet","NA",NA
"518","description wording.","1.0","eng","Percent positive","2.0","Percent positive of sample measures.","pp","Can use for Moore swabs, etc.",NA
"519","description wording.","1.0","eng","parts per million","2.0","Parts per million.","ppm","NA",NA
"520","description wording, structure","1.0","eng","PMMoV-CP","2.0","Pepper mild mottle virus capsid protein gene region","ppmv","NA",NA
"521","now a unit for any group or biologic infection","1.0","eng","Percent positivity rate","2.0","Percent positivity rate of tests conducted within a day in a given region.","pprt","NA",NA
"522","description wording.","1.0","eng","Percent Primary Sludge","2.0","Percentage of total solids, for primary sludge.","pps","NA",NA
"523","added in version 2","2.0","eng","Precipitation class","2.0","Specifies a collection of measures/methods related to precipitation.","precipClass","NA",NA
"524","added in version 2","2.0","eng","Precipitation Unit Set","2.0","Unit set for percipitation measurements.","precipitationUnitSet","NA",NA
"525","NA","1.0","eng","Pretreatment","2.0","Was the sample chemically treated in anyway with the addition of stabilizers or other","pretreat","Pretrement method can be describe using a method. See methodID.",NA
"526","added in version 2","2.0","eng","Private sector organization type","2.0","The category of organization type used for private sector or non-profit groups that are not otherwise captured by the academic category.","priv","NA",NA
"527","added in version 2","2.0","eng","Processing group","2.0","A group of measures/methods related to processing samples for analysis.","procGrp","NA",NA
"528","added in version 2","2.0","eng","Program decription tables class","2.0","Specifies a class for report tables to indicate that they are program description tables.","programDescr","Used o better specify the purpose of report tables, distinct from other classes in this way.",NA
"529","added in version 2","2.0","eng","promega automated tna kit","2.0","Nucleic acid extraction performed using the promega automated tna kit.","promAuto","NA",NA
"530","added in version 2","2.0","eng","promega ht tna kit","2.0","Nucleic acid extraction performed using the promega ht tna kit.","promHt","NA",NA
"531","added in version 2","2.0","eng","promega manual tna kit","2.0","Nucleic acid extraction performed using the promega manual tna kit.","promManu","NA",NA
"532","added in version 2","2.0","eng","promega wastewater large volume tna capture kit","2.0","Nucleic acid extraction performed using the promega wastewater large volume tna capture kit.","promWW","NA",NA
"533","description wording.","1.0","eng","Proportion of total","2.0","Proportion as a precent of total.","prop","NA",NA
"534","description wording.","1.1","eng","Proportion of variant in sample","2.0","Proportion of a variant as percent of total variants.","propV","NA",NA
"535","added in version 2","2.0","eng","Protein class","2.0","Specifies a collection of measures/methods related to proteins.","protein","NA",NA
"536","depreciated","1.0","eng","Access to prov ha","2.0","If this is 'no', this data will not be available to provincial health authorities. If missing, data will be available to provincial health authorities.","provHA","NA",NA
"537","added in version 2","2.0","eng","Provisional report","2.0","A provisional or interm report.","provisional","Use for measurement that are not yet finalized. Typically this purpose is not publicly reported.",NA
"538","NA","1.0","eng","Primary clarifier sludge","2.0","Sludge produced by primary clarifiers","pSludge","NA",NA
"539","added in V2.0","2.0","eng","Other residential building","2.0","Individual residential buildings or institutions not captured in other categories","orb","NA",NA
"540","NA","1.0","eng","Post-grit","2.0","Raw wastewater after a treatment plant's headworks (post grit or removal of large solids at a treatment plant but priort to a primary clarifier)","pstGrit","NA",NA
"541","depreciated","1.0","eng","Pre treatment description","2.0","If preTreatment then describe the treatment that was performed.","ptDesc","Deprecated in version 2, please do not use. Use pretreatment methodID and specify further in summary and/or notes, if necessary.",NA
"542","now a unit for any group or biologic infection","1.0","eng","Number of positive tests","2.0","Number of positive tests conducted within a day in a given region.","ptot","NA",NA
"543","depreciated","1.0","eng","Access to public","2.0","If this is 'no', this data will not be available to the public. If missing, data will be available to the public.","public","NA",NA
"544","added in version 2","2.0","eng","Puro virus","2.0","Measure of the amount of puro virus.","puro","NA",NA
"545","added in version 2","2.0","eng","Puro virus Spike Target","2.0","Puro Virus is used as the recovery efficiency control target.","puroMat","NA",NA
"546","naUnitSet","2.0","eng","Genetic primer category set","2.0","The category set for genetic primers used in sequencing or PCR assays.","primerCatSet","NA",NA
"547","added in V2.0","2.0","eng","Collection Period","2.0","Collection period. The time period over which the sample was collected, in hours. Alternatively, use collectionStart and collectionEnd.","collPer","Examples: 1 hour, 6 hours, 24 hours",NA
"548","added in version 2","2.0","eng","q19e omicron-variant gene target","2.0","q19e omicron-variant gene target","q19e ","NA",NA
"549","added in version 2","2.0","eng","q493r omicron-variant gene target","2.0","q493r omicron-variant gene target","q493r ","NA",NA
"550","added in version 2","2.0","eng","q498r omicron-variant gene target","2.0","q498r omicron-variant gene target","q498r ","NA",NA
"551","added in version 2","2.0","eng","q954h omicron-variant gene target","2.0","q954h omicron-variant gene target","q954h ","NA",NA
"552","description wording, deprecated","1.0","eng","Quaility assurance method","2.0","Quality ass qc","qaqc","Description of the quality control steps taken",NA
"553","added in version 2","1.0","eng","No quality concerns","2.0","A flag to indicate there is are no quality concern about the measure or sample.","qf1","NA",NA
"554","added in version 2","1.0","eng","Quality concerns","2.0","A flag to indicate there is a quality concern, not otherwise sepcified.","qf2","NA",NA
"555","added in version 2","2.0","eng","qiagen allprep dna/rna kit","2.0","Nucleic acid extraction performed using the qiagen allprep dna/rna kit.","qgDNARNA","NA",NA
"556","added in version 2","2.0","eng","qiagen digital PCR","2.0","Describes a PCR analysis done using Qiagen's digital PCR technology.","qgDpcr","NA",NA
"557","added in version 2","2.0","eng","qiagen ez1 virus mini kit v2.0","2.0","Nucleic acid extraction performed using the qiagen ez1 virus mini kit v2.0.","qgEz1","NA",NA
"558","added in version 2","2.0","eng","qiagen allprep powerfecal dna/rna kit","2.0","Nucleic acid extraction performed using the qiagen allprep powerfecal dna/rna kit.","qgPwrFecal","NA",NA
"559","added in version 2","2.0","eng","qiagen allprep powerviral dna/rna kit","2.0","Nucleic acid extraction performed using the qiagen allprep powerviral dna/rna kit.","qgPwrViral","NA",NA
"560","added in version 2","2.0","eng","qiagen powerwater kit","2.0","Nucleic acid extraction performed using the qiagen powerwater kit.","qgPwrWtr","NA",NA
"561","added in version 2","2.0","eng","qiagen qiaamp buffers with epoch columns","2.0","Nucleic acid extraction performed using the qiagen qiaamp buffers with epoch columns.","qgQiAmp","NA",NA
"562","added in version 2","2.0","eng","qiagen rneasy kit","2.0","Nucleic acid extraction performed using the qiagen rneasy kit.","qgRneasy","NA",NA
"563","added in version 2","2.0","eng","qiagen rneasy powermicrobiome kit","2.0","Nucleic acid extraction performed using the qiagen rneasy powermicrobiome kit.","qgRneasyPwr","NA",NA
"564","added in version 2","2.0","eng","Quantitative PCR","2.0","Real-time PCR, also called 'quantAggScale' PCR","qpcr","NA",NA
"565","added in version 2","2.0","eng","Quality measures","2.0","The part type for quality parts.","quality","Only used for the dictionary entries of parts.",NA
"566","added in version 2","2.0","eng","Quality control","2.0","A measure or sample taken for the purpose of quality control.","qualityControl","Measures with this category are take to assess quality control.",NA
"567","added in V2.0","2.0","eng","Collection Number","2.0","The number of subsamples that were combined to create the sample. Use NA for continuous, proportional or passive sampling.","collNum","NA",NA
"568","added in V2.0","2.0","eng","Minimum value","2.0","The minimum value of a part.","minValue","NA",NA
"569","added in version 2","2.0","eng","R squared","2.0","R-squared value of the calibration curve.","r2","Used for storing calibration curve information, potentially also applicable for other curve types.",NA
"570","added in version 2","2.0","eng","r203m delta-variant gene target","2.0","r203m delta-variant gene target","r203m","NA",NA
"571","added in version 2","2.0","eng","Raindance digital PCR","2.0","Describes a PCR analysis done using Raindance's digital PCR technology.","rainDpcr","NA",NA
"572","added in version 2","2.0","eng","Rainy","2.0","Qualitative category for the weather measure, specifying a rainy day.","rainy","NA",NA
"573","added in version 2","2.0","eng","Ratio","2.0","Ratio (unitless)","ratio","Report as a real number or fration. i.e 10:2 ratio is reported as 5. The specifics of the ratio (the numerator and the demoninator) are described in the measure.",NA
"574","NA","1.0","eng","Raw wastewater Sample","2.0","Raw wastes water sample","raws","NA",NA
"575","NA","1.0","eng","Raw sewage at site","2.0","Wastewater without any form of treatment","rawWW","NA",NA
"576","added in version 2","2.0","eng","Raw sewage downstream from a site","2.0","Downstream from a site. See partType = rawWWup.","rawWWdown","NA",NA
"577","added in version 2","2.0","eng","Raw sewage upstream from a site","2.0","Upstream from a site. Used when there is not direct access to a site's wastewater inconjuctiion with downstream sample. For example, if the site is a long-term care home, but ther is not access to the building or property cleanout. Use two sameple, one sample upstream and one sample downstream.","rawWWup","NA",NA
"578","added in version 2","2.0","eng","IP2 rdrp sars-cov-2 gene target","2.0","IP2 rdrp sars-cov-2 gene target","rdrpIP2","NA",NA
"579","added in version 2","2.0","eng","IP4 rdrp sars-cov-2 gene target","2.0","IP4 rdrp sars-cov-2 gene target","rdrpIP4","NA",NA
"580","NA","1.0","eng","Pooled","2.0","Is this a pooled sample, and therefore composed of multiple child samples obtained at different sites","pooled","NA",NA
"581","added in version 2","2.0","eng","Recovered patients","2.0","Units for describing a population measure of patients who have recovered from a given disease.","recov","Unit for a population or disease measure to explain population-level clinical effects.",NA
"582","NA","1.0","eng","Collection date time","2.0","for grab samples this is the date, time and timezone the sample was taken.","collDT","NA",NA
"583","added in version 2","2.0","eng","Regular","2.0","A measure or sample taken for surveillance or epidemiology.","regular","A 'regular' measure is the default. Missing data will be recoded to this purpose.",NA
"584","added in version 2","2.0","eng","Relative humidity","2.0","The unit of relative humidity, or the air-water mixture. The ratio of the partial pressure of water vapor in the mixture to the equilibrium vapor pressure of water over a flat surface. of pure water at a given temperature.","relHum","NA",NA
"585","added in version 2","2.0","eng","Relative humidity unit set","2.0","Unit set for relative humidity measurements.","relHumidUnitSet","NA",NA
"586","depreciated","1.0","eng","Case report Date","2.0","Date that the numbers were reported publicly. Typically, reported data and this measure is most commonly reported and used.","caRepDate","NA",NA
"587","depreciated","1.0","eng","Representative Grab Sample","2.0","A single large representative grab sample.","repGrab","Deprecated in version 2, please do not use.",NA
"588","added in V2.0","2.0","eng","Air compartment","2.0","A measure or observation made from a substance in the air.","a","NA",NA
"589","NA","1.0","eng","Collection date time start","2.0","For integrated time averaged samples this is the date, time and timezone the sample was started being taken.","collDTStart","NA",NA
"590","added in version 2","2.0","eng","Value","2.0","Value of a measure, observation or attribute.","value","NA",NA
"591","added in version 2","1.0","eng","Unit","2.0","The units of a measurement.","unitID","Different units that are used to describe measurement values. Units are combined into UnitSetIDs. Please requests new units by creating an issue in the ODM repository.",NA
"592","changed to contactID","1.1","eng","Reporter ID","2.0","Unique identifier for the person or organization that is reporting the data.","reporterID","NA",NA
"593","depreciated","1.1","eng","Reporter ID Depreciated","2.0","Unique identifier for the entity reporting the data","reporterIDDep","NA",NA
"594","depreciated","1.0","eng","Reporter table","2.0","The table that contains information about a reporter of a sample, method, measure, or attribute.","reporters","NA",NA
